patent_id,assignee_id,disambig_assignee_organization
4488683,a9d256f6-26f6-4553-a8ae-1a1bf4de1030,Metal Works Ramat David
11872626,3ffdc6b4-9949-4395-9aae-f90cb3a18637,"DIVERGENT TECHNOLOGIES, INC."
5856666,bdcc4e9e-662e-4d11-bc1a-7beddcb4e431,U.S. Philips Corporation
5204210,4840cedc-7dcd-4aa9-9d62-ee877f7ef128,Xerox Corporation
5302149,45778076-46c5-4875-ad40-97b3a381a155,Commonwealth Scientific and Industrial Research Organisation
D397841,849a1d8a-9308-40ce-9a86-ba9fda83709b,adidas AG
11652542,74c11be2-20ec-49fe-ac26-d839d375bd32,MITSUBISHI ELECTRIC CORPORATION
D966936,ea96c059-5267-4b52-ac70-4cd0915c519e,Hyundai Motor Company
9104354,dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA
6584517,85f958bf-effb-48ff-b21a-64daf060259f,Cypress Semiconductor Corporation
4530541,8820c5e4-ce96-4425-8462-77643734534c,Keiper Recaro GmbH & Co.
6000175,23a84a9c-1ea8-4165-825f-59a421cf38e5,"Gale Australia Pty, Ltd."
6277623,32af5781-1f17-4d64-9a62-521c1f397b70,Korea Institute of Science and Technology
6970439,ff25d76a-ea22-40b9-b964-aeb3914ef616,"Motorola, Inc."
D519753,84602ba7-5412-413e-8419-edd008120b76,LIBERTY HARDWARE MFG. CORP.
8277428,b1688b11-53c4-46e0-951e-4f0a68d7444c,Johnson & Johnson Ind. E Com. Ltda.
5145918,0dc86831-8686-4967-a0f1-336eddd8cd49,Dow Corning Corporation
8394248,8c3c488c-e5ca-440a-bdd2-31697d75df48,"NGK SPARK PLUG CO., LTD."
8709412,724f247d-f06d-4999-bf12-989e3faf18f7,THE CHILDREN'S HOSPITAL CORPORATION
6940219,ab02ca9c-5bcf-4acf-bdec-82b74c97c861,SONY ELECTRONICS INC.
6791676,581610b2-e9d8-48b1-b2ae-4cc673b9e8f6,Dade Behring Marburg GmbH
6221422,14b95532-3183-42dd-8af6-d3b1ebaa8719,Xyrofin Oy
6429787,ab103576-f045-4a48-8713-86301a0f9f4c,"Crosslink-D, Inc."
4051388,fb2b22ce-39b7-4e23-a11f-85a9ff26d1d6,"NIPPON ELECTRIC CO., LTD."
D259782,93f8c962-7a18-45c0-b192-7a141f9a8b6c,"HITACHI, LTD."
4544673,77720265-b901-4fab-bda5-99a268361ac3,The Standard Oil Company
4268749,8ab402a0-baac-483c-b51d-c76d465b7078,Mobil Oil Corporation
10000939,50939cc4-d571-4bdf-9ce5-884ebbbedc41,KwikSpace Guam
4291532,b243e11a-1cd8-444b-9f52-afbb6746d6c4,Dowty Fuel Systems Limited
10163871,f03635c8-6b6c-4f2b-bb6c-b52678f56aae,QUALCOMM Incorporated
6943792,70f77b8f-fb49-47a0-8660-3e24907c0557,"Minolta Co., Ltd."
6376222,f4775366-9d5b-481f-a7f7-7faf3e386e43,Roche Vitamins Inc.
10481787,491ed4e9-453a-47a1-99c1-281da294ad84,RENAULT S.A.S.
12255972,55715b8e-9037-47c9-8e27-a2acf13d6047,Intel Corporation
10629493,3e28bd09-695c-46ca-9615-15159965a55e,Semiconductor Manufacturing International (Shanghai) Corporation
5097557,d278fce1-da5f-4399-844a-0339e842eec1,Serco
5355402,14033969-8355-4455-a7b2-bfca056f8913,Alcatel N.V.
8162369,ab63516f-63bd-4d65-a440-0683deb6223a,NIFCO INC.
D1055183,ad91ccef-31e4-4167-a5f7-0bce362c9ff1,"Coulter Ventures, LLC."
11620876,4db5a4e3-9d5e-4b15-aa26-f0f5de280e0d,MILESTONE ENTERTAINMENT LLC
4110045,a45783ae-9cec-49bc-bc2e-7b064aaa5907,Raytheon Company
4367310,1b07134c-9d99-4340-92f5-eb3884a8e444,THE DOW CHEMICAL COMPANY
4126755,6fc24e46-a97b-493f-8697-d53eebdd91c6,Dynamit Nobel GmbH
9978004,93f8c962-7a18-45c0-b192-7a141f9a8b6c,"HITACHI, LTD."
5765400,7bc63741-7a2f-483e-ad10-222db3eaebb0,Technit-Technische Textilien und Systeme GmbH
D991733,ade1200b-07aa-45ea-9d0c-f4ac0d415c48,"Zhuhai Kelitong Electronic Co., Ltd."
4203088,c0bcf07d-7732-405c-a8a9-9a41601478fb,"SHIN-ETSU POLYMER CO., LTD."
7576531,83c849be-f31a-410b-abcb-b9ed098533ca,"ROHM CO., LTD."
