patent_id,inventor_id,disambig_inventor_name_first,location_id
D1006496,fl:we_ln:jiang-165,Wenjing,9d072d42-49af-11ed-9879-1234bde3cd05
12029253,fl:ei_ln:baumker-1,Eiko,67149e17-49af-11ed-9879-1234bde3cd05
6584128,fl:ri_ln:kroeger-1,Richard,
4789863,fl:th_ln:bush-1,Thomas A.,
11161990,fl:ma_ln:boudreaux-4,Matthew F.,04726932-16c8-11ed-9b5f-1234bde3cd05
6795487,fl:ge_ln:whitworth-1,Gerald,
12324454,fl:ro_ln:egnatchik-1,Robert,dba09bb0-16c7-11ed-9b5f-1234bde3cd05
D474886,fl:th_ln:fleming-4,Thomas W.,1893009c-16c8-11ed-9b5f-1234bde3cd05
11885288,fl:du_ln:moon-7,Duck Su,75f07306-16c8-11ed-9b5f-1234bde3cd05
7646155,fl:sa_ln:woods-2,Samuel G.,fdbaa08c-16c7-11ed-9b5f-1234bde3cd05
4339721,fl:ta_ln:hosoda-4,Takuya,42f90495-16c8-11ed-9b5f-1234bde3cd05
6610738,fl:ev_ln:mudrane-1,Eva K.,4affe85c-16c8-11ed-9b5f-1234bde3cd05
6448562,0000n8nqsxhrztn7djlxou00k,Muamer,e114e000-16c7-11ed-9b5f-1234bde3cd05
4432679,fl:do_ln:angelosanto-1,Donald J.,a52d9b27-16c8-11ed-9b5f-1234bde3cd05
11093663,fl:ba_ln:james-7,Barry,417a6e38-16c8-11ed-9b5f-1234bde3cd05
8977851,fl:le_ln:neitzel-1,Lee Allen,1811f8b9-16c8-11ed-9b5f-1234bde3cd05
10761618,fl:ja_ln:files-4,Jace W.,1d3ed933-16c8-11ed-9b5f-1234bde3cd05
10263820,fl:st_ln:parkvall-1,Stefan,87702064-49af-11ed-9879-1234bde3cd05
6503081,fl:ja_ln:feine-1,James,d96b7eb6-16c7-11ed-9b5f-1234bde3cd05
10082632,fl:ch_ln:gaal-1,Christopher,0c2cd20c-16c8-11ed-9b5f-1234bde3cd05
D935390,fl:mo_ln:narasaiah-1,Mohan,68a4ea01-16c8-11ed-9b5f-1234bde3cd05
12354161,fl:hi_ln:takeuchi-48,Hiroto,42f90495-16c8-11ed-9b5f-1234bde3cd05
D1042490,fl:ch_ln:liu-1379,Chaopeng,3b444e27-16c8-11ed-9b5f-1234bde3cd05
10805689,fl:jo_ln:jung-23,Joon-Young,3eb30168-16c8-11ed-9b5f-1234bde3cd05
4513070,fl:br_ln:carette-2,Brigitte,173808ad-16c8-11ed-9b5f-1234bde3cd05
11585813,fl:mi_ln:artinger-1,Michael A.,df413f99-16c7-11ed-9b5f-1234bde3cd05
12259564,fl:ed_ln:zizminskas-1,Edvinas,c31f4b00-16c7-11ed-9b5f-1234bde3cd05
D294010,fl:je_ln:bouchet-6,Jean,8e6f9eac-16c8-11ed-9b5f-1234bde3cd05
6705909,fl:te_ln:kaneko-13,Tetsuya,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
7423589,fl:an_ln:ferreol-1,Anne,46b3d6ca-16c8-11ed-9b5f-1234bde3cd05
12412163,fl:mi_ln:rector-1,Mindy Dawn,d95c672f-16c7-11ed-9b5f-1234bde3cd05
H976,fl:jo_ln:matta-2,Joseph E.,fdbaa08c-16c7-11ed-9b5f-1234bde3cd05
10808661,fl:hi_ln:tanada-3,Hiroki,8bf15d99-16c8-11ed-9b5f-1234bde3cd05
12085897,fl:br_ln:brinson-2,Brad D.,4affd925-16c8-11ed-9b5f-1234bde3cd05
8873018,fl:se_ln:kwon-94,Se-Ah,1aeb3c64-16c8-11ed-9b5f-1234bde3cd05
5027236,fl:no_ln:kunze-1,Norbert,31f4b185-16c8-11ed-9b5f-1234bde3cd05
6060464,fl:al_ln:bulla-1,Alexandre,6754a66c-16c8-11ed-9b5f-1234bde3cd05
6495081,fl:vi_ln:benatti-1,Vincenzo,a7edc59b-16c8-11ed-9b5f-1234bde3cd05
10025433,fl:xu_ln:dong-28,Xue,3b444e27-16c8-11ed-9b5f-1234bde3cd05
D291698,fl:ju_ln:hirooka-2,Junji,12f6a2ed-16c8-11ed-9b5f-1234bde3cd05
11468472,fl:si_ln:chawla-1,Sidakpreet Singh,8aad0138-16c8-11ed-9b5f-1234bde3cd05
10578989,fl:yu_ln:kawamoto-8,Yuka,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
D754593,fl:fe_ln:wang-87,Feng,35cb4154-16c8-11ed-9b5f-1234bde3cd05
11758627,fl:da_ln:cvoric-1,Dalibor,970653b3-16c8-11ed-9b5f-1234bde3cd05
5808321,fl:sa_ln:teramoto-3,Satoshi,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
11350577,fl:ha_ln:andersson-10,Hans,4026c04c-16c8-11ed-9b5f-1234bde3cd05
4596837,fl:ka_ln:yamamoto-123,Katsutoshi,8d09bc30-16c8-11ed-9b5f-1234bde3cd05
10601583,fl:wa_ln:feghali-3,Wajdi K.,0712f582-16c8-11ed-9b5f-1234bde3cd05
6028480,fl:ev_ln:seevinck-1,Evert,60d433fa-16c8-11ed-9b5f-1234bde3cd05
5254598,fl:ma_ln:marshall-19,Mary C.,4cc237bf-16c8-11ed-9b5f-1234bde3cd05
9292510,fl:sa_ln:smith-27,Samuel Melvin,9d73fa43-16c8-11ed-9b5f-1234bde3cd05
7393607,fl:yo_ln:fujii-7,Yosuke,210d30de-16c8-11ed-9b5f-1234bde3cd05
