patent_id,filing_date
3963197,1074-08-14
3933359,1074-09-23
3941467,1074-10-29
3936670,1074-10-29
4003574,1075-03-04
3937110,1075-04-01
3943740,1075-04-01
3967129,1075-04-28
4049770,1076-03-02
4143614,1077-12-29
4187870,1078-08-03
4204772,1078-09-25
4379065,1082-03-15
4689471,1096-01-18
4423140,1298-06-25
4381219,1682-04-16
4261723,1868-08-15
4513204,1872-08-27
4544017,1873-11-18
4134235,1877-05-18
4121678,1877-08-29
D249410,1877-09-19
4143969,1877-09-29
4174887,1878-01-18
4202168,1878-07-18
4726367,1885-08-19
D284161,1893-10-27
4739747,1897-04-13
D268871,1900-09-18
5180907,1901-06-03
5340165,1901-06-21
5243083,1902-07-24
5298141,1903-01-15
5479042,1903-02-01
5381357,1903-05-28
5484917,1903-06-16
D356729,1903-05-19
4875871,1904-11-09
4949581,1904-06-15
5471304,1904-03-21
5547108,1904-08-02
5570648,1904-12-13
D368472,1904-01-27
5512877,1905-05-09
4912292,1908-11-01
5266650,1909-10-11
5405412,1915-04-13
4956130,1918-11-21
5173280,1921-10-15
4433811,1922-10-18
4003200,1925-07-14
5323976,1929-10-12
4910521,1931-08-03
5291377,1931-12-31
6097812,1933-07-25
4154006,1936-02-25
6130946,1936-10-23
4143978,1938-05-04
4819136,1938-05-16
4828260,1938-08-23
4855543,1938-09-23
4970080,1939-01-30
4155659,1940-02-05
4141659,1940-02-05
4124311,1940-02-05
3967067,1941-09-24
3985958,1941-12-18
4188905,1943-04-13
3937888,1943-07-17
3991273,1943-10-04
5062489,1943-08-07
4156314,1944-02-21
4214241,1944-03-11
3979558,1944-06-30
3976839,1944-06-30
3965296,1944-06-30
4232186,1944-07-22
4183301,1944-08-07
3983326,1944-09-27
3968454,1944-09-27
4223182,1944-09-27
3984922,1944-10-10
4157453,1944-10-10
5132080,1944-11-28
4177486,1944-12-02
4185928,1944-12-15
6175625,1944-12-15
3939469,1944-12-29
4177485,1944-09-06
4214126,1945-04-30
3933416,1945-05-01
4178474,1945-05-10
3944745,1945-05-10
3953677,1945-05-10
3953678,1945-05-10
4005818,1945-05-11
4207841,1945-05-19
4185556,1945-06-06
4163872,1945-06-28
4956612,1945-06-30
3983327,1945-07-09
6761862,1945-09-24
3956658,1945-11-28
4204088,1945-12-20
3944744,1945-05-10
4185552,1945-05-16
4187779,1945-04-19
5095234,1945-05-09
4173025,1946-01-18
6760396,1946-02-04
3984283,1946-02-21
4200859,1946-04-21
3947321,1946-04-02
3934078,1946-05-01
3965297,1946-05-01
4396801,1946-06-11
3960468,1946-07-16
3951573,1946-07-16
3974028,1946-05-24
4365111,1946-06-11
4156108,1947-01-31
4673430,1947-03-25
6201846,1947-03-31
4270479,1947-12-24
3955943,1948-06-16
3949050,1948-09-20
3991268,1948-12-24
4221168,1948-01-15
6706089,1948-02-27
4125744,1948-12-24
4373334,1948-09-25
4904185,1948-01-10
3973928,1949-01-28
3955860,1949-02-07
4112849,1949-02-11
3961917,1949-07-13
4199730,1949-09-28
3946645,1949-12-14
3973934,1949-02-23
4218525,1949-09-21
4370519,1949-12-06
4161371,1949-11-16
4266095,1950-01-04
4343967,1950-02-28
3955505,1950-05-31
3931488,1950-06-20
3949048,1950-07-24
3938456,1950-10-04
3943870,1950-10-24
4080900,1950-11-24
3946354,1950-12-08
4201136,1951-01-19
4152621,1951-02-02
4194203,1951-02-14
4102270,1951-05-08
4010469,1951-06-20
6687324,1951-07-19
4035760,1951-09-18
4087324,1951-10-30
3983482,1951-11-14
4337436,1951-11-15
4185551,1951-12-06
3983624,1952-01-10
4021803,1952-01-30
3945006,1952-04-04
6222898,1952-04-23
4140562,1952-06-04
3971699,1952-06-19
4218975,1952-06-23
3958148,1952-08-11
4004973,1952-08-28
3975233,1952-09-10
4184209,1952-10-10
3959070,1952-11-18
3951358,1952-12-05
3968007,1952-12-09
3944872,1952-08-11
3985033,1952-05-15
4092498,1952-08-29
4286113,1953-02-02
4343970,1953-02-19
4202047,1953-02-27
4193346,1953-03-16
4176316,1953-03-30
3947320,1953-04-01
4213391,1953-05-07
4185555,1953-06-11
4304963,1953-10-07
4123597,1953-10-19
4067366,1953-11-02
6525579,1954-01-12
4189026,1954-01-13
4206319,1954-01-20
4056662,1954-01-27
4065604,1954-01-27
4053690,1954-01-27
4065605,1954-01-27
6226341,1954-03-02
6728328,1954-05-13
4208545,1954-05-24
4207626,1954-06-07
4195359,1954-06-28
3955692,1954-06-03
3958699,1954-07-13
4159476,1954-08-19
4197522,1954-08-20
4139849,1954-09-03
4122776,1954-09-03
4218987,1954-09-30
4227476,1954-10-14
4228737,1954-10-27
3976968,1954-11-19
4168663,1954-12-01
4101452,1954-10-25
3940767,1955-01-21
4704261,1955-01-17
4107566,1955-02-07
4140062,1955-02-16
4068235,1955-02-25
4149167,1955-03-04
3963936,1955-03-14
4147108,1955-03-17
4185550,1955-03-18
3944535,1955-04-18
4195280,1955-05-05
4092645,1955-05-19
4213198,1955-06-20
3957577,1955-06-23
4206510,1955-06-27
4099376,1955-06-29
3976812,1955-07-14
4097775,1955-08-04
3952222,1955-08-10
4187393,1955-08-23
3954503,1955-09-23
6234014,1955-11-22
4103237,1955-12-15
4207623,1955-02-08
4376851,1956-01-11
3956039,1956-01-13
4208734,1956-01-17
3986187,1956-01-30
4220952,1956-02-17
4223311,1956-02-29
4047148,1956-02-29
4189999,1956-03-05
4024998,1956-03-07
4200920,1956-02-29
3976630,1956-04-16
4184117,1956-04-16
4195361,1956-04-27
4093154,1956-05-07
3936827,1956-05-22
3954504,1956-06-18
3984769,1956-07-26
3936748,1956-09-10
4203365,1956-09-20
3992711,1956-10-04
4203165,1956-10-24
3939419,1956-11-06
4195294,1956-11-15
4219818,1956-12-05
4139170,1957-01-22
4203366,1957-02-01
4210913,1957-02-13
4059052,1957-02-21
3964053,1957-03-15
4367196,1957-05-01
4182929,1957-05-02
3975729,1957-05-31
3940656,1957-06-13
4002990,1957-07-22
4264909,1957-09-05
3994229,1957-09-17
4104037,1957-09-23
4709848,1957-10-02
4142074,1957-10-29
3937880,1957-12-05
3972734,1957-12-27
4076698,1957-01-04
3990378,1958-01-13
4186663,1958-02-03
3964424,1958-04-02
4194246,1958-05-12
4192245,1958-05-14
4205588,1958-06-10
4054510,1958-06-13
4361890,1958-06-17
3974772,1958-06-25
4063009,1958-07-01
4224415,1958-07-18
4197591,1958-08-04
4117484,1958-07-31
4006478,1958-08-15
6650270,1958-08-15
4328496,1958-08-27
5679921,1958-08-27
4179657,1958-08-28
4184210,1958-09-04
3998162,1958-09-16
4194150,1958-09-26
4044555,1958-09-30
4202269,1958-10-15
4009661,1958-10-24
4232314,1958-10-28
4125698,1958-10-29
4009523,1958-12-15
4358857,1958-05-09
3970719,1958-01-16
4904863,1958-11-25
4964448,1958-09-14
3947301,1959-01-05
4206508,1959-01-08
3984774,1959-01-14
4195295,1959-01-14
4056061,1959-01-20
4036144,1959-01-29
6118732,1959-02-12
5202678,1959-02-13
4040357,1959-03-04
4204281,1959-03-24
4198704,1959-03-27
4086560,1959-04-03
4108075,1959-04-09
4186768,1959-04-10
4118702,1959-04-22
4119920,1959-04-29
3938147,1959-05-19
3939476,1959-05-19
4218977,1959-05-19
5202644,1959-06-11
3960621,1959-06-12
4262359,1959-07-16
4733242,1959-07-20
3982713,1959-07-22
4255800,1959-08-11
4198706,1959-08-21
4044683,1959-08-20
4188906,1959-08-25
4194202,1959-09-16
4980688,1959-09-30
4721961,1959-11-03
3967989,1959-11-03
4203163,1959-11-25
4185578,1959-11-30
4215645,1959-12-10
4023172,1959-12-17
4196433,1959-12-23
4274333,1959-12-28
4254727,1959-12-30
4157546,1959-01-07
4176357,1960-01-25
3970940,1960-01-28
4007805,1960-01-29
4005383,1960-02-12
4034143,1960-02-24
4185326,1960-02-25
4223196,1960-02-29
4048178,1960-03-10
4326292,1960-03-18
4363130,1960-03-18
4324002,1960-03-18
4030032,1960-04-05
4187556,1960-04-05
4017799,1960-04-12
4127443,1960-05-04
4259577,1960-05-04
4975890,1960-05-10
4198703,1960-05-12
4975886,1960-05-24
4084511,1960-06-07
4484195,1960-06-10
4322730,1960-06-15
3969154,1960-06-22
4216534,1960-06-28
4173186,1960-07-07
4210083,1960-07-06
4185554,1960-07-28
4137286,1960-08-12
4482405,1960-08-18
4185538,1960-08-30
4219889,1960-09-16
3955757,1960-09-28
4128836,1960-10-14
4001191,1960-10-18
4023174,1960-10-19
4682954,1960-10-24
3976011,1960-10-31
6313782,1960-11-16
4255799,1960-12-07
4239012,1960-12-15
4088998,1960-12-22
4022128,1960-12-23
3953585,1960-12-27
